Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
"Beinn Bhàn, Glen Loy",3.15,795.90,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Mallie and Glen Loy,56.925272,-5.056847,145.3,3.55,"There is limited parking along the forest track on the left just before Inverskilavulin Bridge, but be careful not to obstruct the track.",None nearby,No,3.2-4.4 hrs,09:30,
Sgùrr Coire Choinnichean,4.09,796.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Knoydart,57.047661,-5.643934,186.9,4.19,The track passes a parking area and climbs past a couple of A-frame houses before emerging on a larger track across the hill.,None nearby,No,3.2-4.4 hrs,08:13,
Sgùrr an Utha,3.75,796.00,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Finnan and Gleann Fionnlighe,56.898744,-5.474492,162.3,3.94,"There is a layby on the south side of the A830 just west of the bridge over the Allt an Utha, a few kilometres west of Glenfinnan.",None nearby,No,3.2-4.4 hrs,08:43,
Màm na Gualainn,3.83,796.50,Central Highlands,Loch Linnhie to Loch Ericht,Loch Leven and Mamores,56.716441,-5.081587,126.8,2.91,"Begin by turning right along Wade's Road from the car park, with good views to the conical peak of Beinn na Caillich - the first objective.",None nearby,No,3.2-4.4 hrs,10:46,
Beinn Dronaig,3.00,796.80,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Attadale and Monar,57.39159,-5.267944,214.5,6.53,Start from the walker's car park on the right after turning into Attadale Estate from the A890 south of Strathcarron.,"Whether staying here, camping nearby or just popping in, please repay the estate's generosity by carrying out all your rubbish and keeping the place tidy; flush the toilet by filling the cistern using the bucket in the stream outside.",No,3.2-4.4 hrs,03:32,
Cairnsmore of Carsphairn,3.20,797.00,Southern Uplands,Galloway,Forest of Carsphairn,55.256093,-4.213141,88.9,2.95,There is parking for several cars on the old road opposite the track at the start of the walk at Bridge-end.,None nearby,No,3.2-4.4 hrs,10:41,
Am Bathach,3.67,798.10,Western Highlands and Inner Hebrides,Glen Affric to Glen Shiel,Kintail's Brothers,57.179278,-5.189146,174.9,3.98,Start from the layby on the north side of the A87 just over a kilometre east of the Cluanie Inn.,None nearby,No,3.2-4.4 hrs,08:38,
Cìr Mhòr,4.72,798.10,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Isle of Arran,55.639135,-5.222566,169.7,5.59,"This also serves the campsite here and walks up popular Glen Rosa so it is often full, either get here early, use the bus and walk up the Glen Rosa road or park at the Cladach Centre and join the rout",None nearby,No,3.2-4.4 hrs,05:25,
Sow of Atholl,2.70,798.90,Central Highlands,Glen Garry to Loch Rannoch,West of Drumochter,56.838117,-4.255185,95.8,2.18,"There is parking on the approach road to Dalnaspidal Lodge, just before the level crossing over the railway.",None nearby,No,3.2-4.4 hrs,12:14,
An Cliseam (Clisham),4.41,800.00,Northern Highlands and Outer Hebrides,Outer Hebrides,Harris,57.963718,-6.812545,284.8,7.4,Various - Tarbert or Huishinish road end,Tarbert village,No,3.3-4.4 hrs,01:47,
Meallan Liath Coire Mhic Dhughaill,4.00,800.80,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Srath Luib na Seilich to Loch Merkland,58.310102,-4.805657,231.8,5.35,There is parking on the A838 just south of Kinloch where the track branches off for Aultanrynie.,None nearby,No,3.3-4.4 hrs,05:54,
Cranstackie,3.88,801.00,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Cape Wrath to Loch Eribol,58.457443,-4.828707,271.8,6.71,The walk begins from Carbreck on the A838; there is parking in an old quarry about 150 metres to the south.,None nearby,No,3.3-4.4 hrs,03:10,
Beinn Bhreac-liath,3.34,802.00,Central Highlands,Northwest Argyll and Appin,Glen Orchy,56.466728,-4.756546,91.2,2.29,Parking at Bridge of Orchy station (NN297395),None nearby,No,3.3-4.4 hrs,12:01,
"Càrn Mor, Glen Livet",2.95,804.00,Eastern Highlands,Cairngorms and North East Grampians,The Ladder Hills,57.249886,-3.218478,129.2,4.03,"To reach the parking area, take the minor road to Chapeltown and then turn left opposite the church onto a farm track with a car park.",None nearby,No,3.3-4.4 hrs,08:32,
"Geal Chàrn, Glen Garry",2.96,804.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Garry Forest,57.002621,-5.037531,169.7,4.7,"At the very end of the public road is a large turning area with a no parking sign, but it should be possible to park carefully without obstructing the turning circle in any way.",None nearby,No,3.3-4.4 hrs,07:11,
"Beinn na h-Eaglaise, Arnisdale",3.63,805.00,Western Highlands and Inner Hebrides,Loch Hourn to Glen Shiel,Arnisdale and Glen Elg,57.148652,-5.548706,205.2,4.48,There is a car park at Corran at the end of the public road through the Glenelg peninsula.,None nearby,No,3.3-4.4 hrs,07:38,
