Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
Ben Vrackie,4.07,842.20,Eastern Highlands,Gaick and Atholl,Glen Tilt to Glen Brerachan,56.748964,-3.71727,80.0,2.3,Start at the Ben Vrackie car park which is just NW of Moulin (it can easily be walked from Pitlochry).,None nearby,No,3.5-4.7 hrs,11:41,
Merrick,3.92,843.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.139266,-4.468428,127.6,4.47,"Park at the car park near the end of the public road up Glen Trool, and continue along the last 100m of road on foot.",None nearby,No,3.5-4.7 hrs,07:21,
Càrn Bàn,2.75,843.30,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Strath Mulzie and Freevater,57.846792,-4.801043,199.2,7.33,"There is a parking area amidst the magnificent Scots pine woods at the end of the public road leading towards Glen Calvie and Alladale, at NH464891.",None nearby,No,3.5-4.7 hrs,01:38,
Beinn Resipol,3.91,845.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Sunart,56.727211,-5.652629,150.0,3.78,The walk starts where a small road doubles back to the left (Heatherbank B&B sign) - there is some roadside parking near here but be careful not to block passing spaces.,None nearby,No,3.5-4.7 hrs,08:44,
Ben Donich,3.95,846.50,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.197936,-4.873304,95.3,2.44,"From the summit of the Rest and Be Thankful pass, take the B828 towards Lochgoilhead; after a short distance a track on the left is signed for Ben Donich access; there is space to park a short distanc",None nearby,No,3.5-4.7 hrs,11:25,
Canisp,3.91,847.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,West Assynt and Glen Canisp,58.120936,-5.052849,233.2,5.06,From the south end of the layby a rough and sometimes wet path heads directly southwest to reach a footbridge over the outflow of Loch Awe.,None nearby,No,3.5-4.7 hrs,06:10,
Beinn nan Imirean,2.65,848.30,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lochay,56.444143,-4.565852,81.3,2.15,"There is parking for a couple of cars to park hard on the left near the start of the track taking care to leave plenty of space for farm vehicles to manoeuvre, or alternatively on the grass verge of t",None nearby,No,3.5-4.8 hrs,11:54,
Bac an Eich,3.80,849.00,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Strathconon,57.495784,-4.968303,195.8,5.22,"There is a parking area at the end of the public road up Strathconon, on the north shore of Loch Beannacharain.",None nearby,No,3.5-4.8 hrs,05:45,
Sgùrr Ghiubhsachain,4.39,849.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.818974,-5.482572,150.6,4.95,"Begin the walk by turning left out of the car park, heading along the track (signed Ardgour, 18 miles) towards the small hydro-power station and cottages at Callop.",None nearby,No,3.5-4.8 hrs,06:18,
Cùl Mòr,4.44,849.70,Northern Highlands and Outer Hebrides,Coigach and Assynt,Coigach and Inverpolly,58.058148,-5.116766,223.8,4.83,From the layby go through the gate and follow the well made stalkers' path.,None nearby,No,3.5-4.8 hrs,06:32,
Meall an t-Seallaidh,3.39,852.70,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Glen Dochart to Loch Voil,56.380418,-4.362612,66.1,1.58,Park in the large car park on the A85 near the west end of Loch Earn in Lochearnhead.,None nearby,No,3.5-4.8 hrs,13:02,
"Creach Bheinn, Glen Galmadale",3.70,853.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Morvern,56.661994,-5.476227,138.0,3.35,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.5-4.8 hrs,09:30,
"Beinn an Eòin, Torridon",4.29,855.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, Flowerdale",57.62286,-5.509778,223.3,5.43,Park in the small car park beside the green barn a few hundred metres east of Loch Bad an Sgalag.,None nearby,No,3.5-4.8 hrs,05:20,
"Beinn Bhuidhe, Knoydart",4.40,855.40,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Knoydart,57.010127,-5.589157,184.9,4.07,Inverie (ferry from Mallaig) or Kinloch Hourn road end (NG950067),Inverie village,No,3.6-4.8 hrs,08:03,
Stob an Aonaich Mhòir,3.56,855.60,Central Highlands,Glen Garry to Loch Rannoch,West of Drumochter,56.793317,-4.396093,113.1,3.46,There is limited parking where the private road leaves the B846 just east of the Bridge of Ericht - take care to park considerately and ensure no entrances are restricted.,None nearby,No,3.6-4.8 hrs,09:16,
Beinn a' Chàisgein Mòr,3.70,856.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.751185,-5.392096,228.6,6.48,Turn down the minor road from the north side of the bridge in Poolewe; there is then a small car park on the left.,None nearby,No,3.6-4.8 hrs,03:14,
Beinn a' Chrùlaiste,3.70,857.00,Central Highlands,Northwest Argyll and Appin,North of Glen Coe,56.668922,-4.863535,108.4,2.5,Park at Altnafeidh; there is a layby on the north side of the road and rougher parking on the south side.,None nearby,No,3.6-4.8 hrs,11:11,
Cruach Innse,3.29,857.00,Central Highlands,Loch Linnhie to Loch Ericht,Easains and Innses,56.846844,-4.821944,141.7,3.62,There is parking on the left (where the road meets the line of an old tramway) at NN255788.,None nearby,No,3.6-4.8 hrs,08:57,
Fraoch Bheinn,3.61,857.30,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Kingie to Loch Arkaig,56.993481,-5.31693,158.2,3.41,There is a car park at the end of the roller-coaster road along the north side of Loch Arkaig.,None nearby,No,3.6-4.8 hrs,09:22,
Càrn Dearg Mòr,3.17,857.40,Eastern Highlands,Gaick and Atholl,Glen Tromie to Glen Feshie,56.996817,-3.938644,133.8,4.83,"From here turn left and head back to the start by reversing the outward route, remembering to cross the bridge back over the Feshie to return via Achlean to the car park.",None nearby,No,3.6-4.8 hrs,06:32,
Beinn Làir,4.45,859.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Letterewe,57.703854,-5.389226,212.7,4.6,Turn down the minor road from the north side of the bridge in Poolewe; there is then a small car park on the left.,None nearby,No,3.6-4.8 hrs,07:00,
Caisteal Abhail,4.63,859.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Isle of Arran,55.649862,-5.22933,166.5,5.27,The walk begins from the car park beside the bridge over the North Sannox Burn.,None nearby,No,3.6-4.8 hrs,05:39,
Morrone,3.17,859.50,Eastern Highlands,Glen Ey to Glen Lochsie,Glen Ey,56.980803,-3.429585,93.7,3.06,"If it is difficult to find parking, there is parking at the top of Chapel Brae from where you can join the walk.",None nearby,No,3.6-4.8 hrs,10:04,
Beinn Luibhean,3.12,859.70,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Arrochar Alps,56.231248,-4.836359,93.6,2.1,"Begin the walk by heading through the gate (often locked) at the back of the parking area, and crossing the metal bridge over the burn.",None nearby,No,3.6-4.8 hrs,12:00,
"Beinn Tharsuinn, Monar",3.72,861.20,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Attadale and Monar,57.438688,-5.241959,207.6,4.93,There is a signed forestry car park off the north side of the road at Craig.,"Whether staying here, camping nearby or just popping in, please repay the estate's generosity by carrying out all your rubbish and keeping the place tidy; flush the toilet by filling the cistern using the bucket in the stream outside.",No,3.6-4.8 hrs,06:20,
"Cam Chreag, Glen Lyon",2.89,861.70,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lyon west,56.611095,-4.385643,96.8,2.93,Park at the Meggernie Estate car park (toilets) at Innerwick in Glen Lyon.,None nearby,No,3.6-4.9 hrs,10:14,
Beinn a' Bhàthaich Àrd,2.84,862.00,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,North of Glen Strathfarrar,57.451954,-4.733921,183.6,4.95,Glen Strathfarrar gate parking (NH268384),None nearby,No,3.6-4.9 hrs,06:11,
Meall na h-Aisre,2.65,862.10,Central Highlands,Monadh Liath to Glen Roy,Glen Doe and Corrieyairack Pass,57.067442,-4.450364,121.0,3.94,"Start from the parking areas on the left side of the road, just before Garva Bridge, some distance up the minor road past the Spey dam.",None nearby,No,3.6-4.9 hrs,08:13,
Conachcraig,3.30,862.50,Eastern Highlands,Glenshee to Cairn o'Mount,Glen Callater to Glenmuick,56.964289,-3.18654,119.4,3.26,Start from the Pay and Display car park at Crathie and follow the road over the bridge (built by Brunel) and past the entrance to Balmoral Castle.,None nearby,No,3.6-4.9 hrs,09:34,
Càrn a' Choire Ghairbh,3.17,862.50,Western Highlands and Inner Hebrides,Glen Affric to Glen Shiel,South of Glen Affric,57.222617,-5.087634,202.0,5.11,Park at the River Affric car park (charge) at the end of the public road up Glen Affric.,None nearby,No,3.6-4.9 hrs,05:52,
Creag an Dail Bheag,2.93,863.00,Eastern Highlands,Cairngorms and North East Grampians,East of Lairig an Laoigh,57.066729,-3.391294,100.9,2.91,There is a car park for walkers at Keiloch on the Invercauld Estate a short distance off the A93; a charge is made.,None nearby,No,3.6-4.9 hrs,10:16,
Sgùrr na Feartaig,3.83,863.00,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Attadale and Monar,57.457071,-5.243654,207.6,4.93,There is a signed forestry car park off the north side of the road at Craig.,None nearby,No,3.6-4.9 hrs,06:14,
Beinn Mhic Chasgaig,3.68,864.00,Central Highlands,Northwest Argyll and Appin,Above the Black Mount,56.610079,-4.899499,111.3,2.57,There is a small layby a short distance west along the Glen Etive road from Alltchaorunn bridge - do not park blocking any passing spaces.,None nearby,No,3.6-4.9 hrs,10:57,
"Garbh Bheinn, Loch Leven",4.37,867.00,Central Highlands,Northwest Argyll and Appin,North of Glen Coe,56.696608,-4.991449,124.2,2.85,"There is a rough layby just west of the bridge over the Allt Gleann a' Chaolais, east of Caolasnacan on the B863; if full, there is space for another car just east of the bridge.",None nearby,No,3.6-4.9 hrs,10:23,
Stob a' Choin,4.16,867.20,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Loch Voil to Strath Gartney,56.30968,-4.560171,74.6,2.23,There is a car park on the left at the end of the bumpy public road up past Loch Voil.,None nearby,No,3.6-4.9 hrs,11:38,
Meall na Meoig of Beinn Pharlagain,3.52,867.30,Central Highlands,Loch Linnhie to Loch Ericht,Around Loch Ossian,56.74363,-4.538992,107.3,3.9,"Corrour station (no road access, train only) (NN356664)",None (remote),No,3.6-4.9 hrs,08:18,
Bidein a' Chabair,4.28,867.50,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,North Morar,56.980371,-5.47553,162.9,3.98,There is a parking area at the end of the seemingly endless rollercoaster of a public road near the head of Loch Arkaig.,None nearby,No,3.6-4.9 hrs,08:08,
Faochaig,3.47,868.90,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,Killilan and Iron Lodge,57.332935,-5.288043,207.2,6.8,There is parking on the left at the start of the private section of road to Killilan.,None nearby,No,3.6-4.9 hrs,02:30,
Sgòrr nan Lochan Uaine,3.84,871.30,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, Coulin and Ben Damh",57.522796,-5.393263,211.3,4.57,Park at Coire Dubh car park - best known as the starting point for the path to Coire Mhic Fhearchair on Beinn Eighe.,None nearby,No,3.6-4.9 hrs,06:57,
"Morven, Deeside",3.44,872.00,Eastern Highlands,Cairngorms and North East Grampians,River Don to River Gairn,57.122651,-3.030878,125.0,3.61,"There is space for a number of to park at the end of the public section of this road, where it forks into two tracks.",None nearby,No,3.6-4.9 hrs,08:52,
Ben Hee,3.50,873.00,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Srath Luib na Seilich to Loch Merkland,58.265909,-4.683901,225.3,4.84,"The walk starts from West Merkland, but the nearest parking now is around 1.",None nearby,No,3.6-4.9 hrs,06:25,
Sgùrr na Bà Glaise,3.92,874.10,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Moidart,56.837457,-5.656892,187.5,4.55,"Traditionally the parking was by the info board on the right, but the local farmer objects to parking here or the larger parking near the cottages.",None nearby,No,3.7-4.9 hrs,07:00,
Baosbheinn,4.50,875.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.628277",57.628277,-5.568618,223.3,5.43,Park in the small car park beside the green barn a few hundred metres east of Loch Bad an Sgalag.,None nearby,No,3.7-4.9 hrs,05:14,
Goatfell,4.42,875.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Isle of Arran,55.625849,-5.19192,171.9,5.53,Brodick or Cladach car park (NS014375),Brodick village,No,3.7-4.9 hrs,05:02,
A' Chaoirnich (Maol Creag an Loch),3.00,875.70,Eastern Highlands,Gaick and Atholl,East of Drumochter and Gaick Forest,56.900433,-4.078202,92.5,2.95,"There is no parking at the start of the track up into the Gaick on the north side of the A9, so instead turn towards Trinafour on the opposite side of the road.",None nearby,No,3.7-5.0 hrs,10:05,
Càrn an Fhreiceadain,3.17,877.70,Central Highlands,Monadh Liath to Glen Roy,Monadh Liath,57.137373,-4.107367,120.4,3.8,"There is a large free car park just behind the Duke of Gordon Hotel, off Gynack Road, in the centre of Kingussie, where there are also toilets and information about the local path network.",None nearby,No,3.7-5.0 hrs,08:24,
Ben Ledi,3.97,878.60,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Loch Voil to Strath Gartney,56.258667,-4.322388,59.9,2.28,"Turn off the A84, following the sign for Strathyre Forest Cabins, to cross the Garbh Uisge to the south of Loch Lubnaig; on the far side of the bridge turn left to reach the parking area.",None nearby,No,3.7-5.0 hrs,11:26,
Creag Uchdag,3.06,878.80,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Tay to Glen Almond,56.465292,-4.09811,90.5,2.6,"It used to be possible to drive up to the Loch Lednock dam, but this is no longer permitted and there is a locked gate beyond the houses, so instead begin from the car park by Coishavachan at the end ",None nearby,No,3.7-5.0 hrs,10:48,
Sgùrr a' Mhuilinn,3.52,878.80,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Strathconon,57.5584,-4.902284,188.8,4.3,There is a rough grassy parking area up off the right hand side of the road opposite the last forestry cottage in the tiny hamlet of Strathanmore (around 1km before the church).,None nearby,No,3.7-5.0 hrs,07:24,
Fraochaidh,3.65,879.00,Central Highlands,Northwest Argyll and Appin,Appin and Beinn a' Bheithir,56.615694,-5.21364,133.4,3.63,"Start from the car park next to the visitor centre, cafe and toilets in Ballachulish.",None nearby,No,3.7-5.0 hrs,08:44,
Sgùman Còinntich,4.00,879.00,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,Killilan and Iron Lodge,57.318808,-5.361314,201.7,5.03,There is parking on the left at the start of the private section of road to Killilan.,None nearby,No,3.7-5.0 hrs,05:56,
Beinn Chuirn,3.42,880.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Cononish,56.4239,-4.789889,90.8,2.71,There is a good sized car park off the A82 road by taking the turning for Dalrigh; keep left after taking the turn and the car park is on the left.,None nearby,No,3.7-5.0 hrs,10:34,
Sgùrr Mhurlagain,3.13,880.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Kingie to Loch Arkaig,56.998486,-5.273693,156.8,3.38,There is a car park at the end of the roller-coaster road along the north side of Loch Arkaig.,None nearby,No,3.7-5.0 hrs,09:14,
Rois-Bheinn,4.13,882.40,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Moidart,56.837646,-5.680416,172.0,3.78,"Traditionally the parking was by the info board on the right, but the local farmer objects to parking here or the larger parking near the cottages.",None nearby,No,3.7-5.0 hrs,08:26,
"Stob Dubh, Beinn Ceitlein",4.23,883.00,Central Highlands,Northwest Argyll and Appin,East of Loch Etive,56.595423,-4.988134,116.8,2.72,There is a small layby a short distance west along the Glen Etive road from Alltchaorunn bridge - do not park blocking any passing spaces.,None nearby,No,3.7-5.0 hrs,10:33,
Beinn Odhar Bheag,3.85,883.30,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Moidart,56.842224,-5.532403,162.3,3.58,There are numerous parking laybys along the A830 between Glenfinnan and Loch Eilt - the correct one at NM856813 has a gate leading to a bridge over the river with the railway line beyond.,None nearby,No,3.7-5.0 hrs,08:50,
"Cam Chreag, Strath Fillan",2.89,883.60,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Bridge of Orchy,56.476066,-4.639171,94.6,2.86,Park at the Meggernie Estate car park (toilets) at Innerwick in Glen Lyon.,None nearby,No,3.7-5.0 hrs,10:16,
The Cobbler (Ben Arthur),4.50,884.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Arrochar Alps,56.213045,-4.808061,92.3,2.21,Loch Long car park or Succoth car park (NN295049),Arrochar village,No,3.7-5.0 hrs,11:34,
Buidhe Bheinn,4.20,885.50,Western Highlands and Inner Hebrides,Loch Hourn to Glen Shiel,Glen Shiel Forest,57.127152,-5.366456,180.6,4.3,Continue past the farm/tea room to reach the day and overnight parking area on the left - there is a charge.,None nearby,No,3.7-5.0 hrs,07:24,
"Garbh Bheinn, Ardgour",4.37,885.60,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.704508,-5.425351,135.4,3.19,"There is a rough layby just west of the bridge over the Allt Gleann a' Chaolais, east of Caolasnacan on the B863; if full, there is space for another car just east of the bridge.",None nearby,No,3.7-5.0 hrs,09:37,
"Beinn a' Chaisteil, Orchy",3.70,886.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Bridge of Orchy,56.490625,-4.686112,93.7,2.57,There is parking at the start of the tarmac hydro road that branches off the A835 just east of Black Bridge.,None nearby,No,3.7-5.0 hrs,10:51,
Ben Aden (Beinn an Aodainn),4.54,887.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Rough Bounds and south of Loch Cuaich,57.030752,-5.463157,176.8,3.85,"There is room to park several cars where a track heads south off the road at NG993034, without blocking access to the track (which has a locked chain).",None nearby,No,3.7-5.0 hrs,08:18,
Meall a' Ghiubhais (Meall a' Ghiuthais),4.09,887.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.615205",57.615205,-5.390206,208.2,4.48,Start the walk by following the 'Mountain Trail' which begins at the far end of the car park and passes through the underpass beneath the main road.,None nearby,No,3.7-5.0 hrs,07:02,
Aonach Shasuinn,3.33,888.00,Western Highlands and Inner Hebrides,Glen Affric to Glen Shiel,South of Glen Affric,57.216424,-5.026763,172.2,5.31,Park at the River Affric car park (charge) at the end of the public road up Glen Affric.,None nearby,No,3.7-5.0 hrs,05:22,
Sgùrr Dhomhnuill,4.11,888.40,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.754678,-5.453782,149.8,4.68,There is a large car park at the entrance to Ariundle Oakwoods.,None nearby,No,3.7-5.0 hrs,06:38,
Creagan na Beinne,2.97,889.10,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Tay to Glen Almond,56.50694,-4.041697,89.8,2.36,"There is parking a verge parking area in Ardtalnaig, just south of the bridge over the burn, take care to leave enough room for turning lorries.",None nearby,No,3.7-5.1 hrs,11:10,
Beinn Enaiglair,3.77,890.00,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Inverlael and Strathvaich,57.779121,-4.986724,201.6,4.41,"Ignore the track leading into the forest from here and instead take a path (sign 'Hill access') from the east end of the car park, passing through the trees before emerging at the road again on the ed",None nearby,No,3.7-5.1 hrs,07:04,
An Ruadh-Stac,4.63,890.40,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.475007",57.475007,-5.468272,226.5,5.31,There is a parking area on the north side of the A890 road just west of the bridge at Coulags.,None nearby,No,3.7-5.1 hrs,05:16,
Beinn a' Chuallaich,3.52,892.20,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Loch Rannoch and Loch Tummel,56.729023,-4.151527,90.0,2.16,"Begin by heading through the gate in the deer fence opposite the parking area, and heading up the field parallel to the forest edge. (NN707614)",None nearby,No,3.8-5.1 hrs,11:34,
"Creag Mhòr, Abernethy",3.67,895.00,Eastern Highlands,Cairngorms and North East Grampians,Lairig Ghru to Lairig an Laoigh,57.124265,-3.55842,140.5,6.36,"The walk begins from the Allt Mòr car park (charge) which is signed on the left side of the road to the Cairngorm ski area, around 1km beyond the turning for Glenmore Lodge (parking at the lodge has b",None nearby,No,3.8-5.1 hrs,03:10,
Gairbeinn,3.15,895.50,Central Highlands,Monadh Liath to Glen Roy,Glen Doe and Corrieyairack Pass,57.052003,-4.53968,120.3,3.23,There is parking just before the end of the public road up heading up the glen of the upper Spey from Laggan; the road extends further than shown on 1:50k maps and reaches a bridge beside a ford just ,None nearby,No,3.8-5.1 hrs,09:26,
"Beinn Bhàn, Applecross",3.15,895.70,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, Applecross",57.442373,-5.661701,226.5,5.03,"There is limited parking along the forest track on the left just before Inverskilavulin Bridge, but be careful not to obstruct the track.",None nearby,No,3.8-5.1 hrs,05:50,
Ruadh-stac Beag,4.38,896.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.596406",57.596406,-5.39398,209.8,4.53,Park at the Beinn Eighe visitor centre.,None nearby,No,3.8-5.1 hrs,06:50,
Ben Tirran,3.33,897.00,Eastern Highlands,Glenshee to Cairn o'Mount,Angus Glens,56.858711,-3.029165,98.1,4.57,The walk begins beside the Glen Clova Hotel but the car park is for patrons only; there is a public car park just over the bridge in the direction of Glen Doll.,None nearby,No,3.8-5.1 hrs,06:45,
Sgùrr nan Eugallt,4.14,897.50,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Barrisdale,57.087981,-5.422658,179.3,3.88,"There is parking for several cars both a short distance further along the road where the right of way to Glenshiel goes off, and also a short distance back along the road.",None nearby,No,3.8-5.1 hrs,08:08,
Beinn a' Bhùiridh,2.84,898.40,Central Highlands,Northwest Argyll and Appin,Ben Cruachan and Glen Kinglass,56.409098,-5.090291,106.8,2.76,There is space for one car to park carefully opposite this entrance (a wide turning circle is needed for large vehicles exiting the gate) - alternatively there is a layby a short distance east along t,"If full, it is no longer possible to park at the Power Station Visitor Centre, but there is a proper layby about 700m further along the road towards Oban, on the right hand side.",No,3.8-5.1 hrs,10:22,
Aonach Buidhe,3.62,899.00,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,Killilan and Iron Lodge,57.34119,-5.229298,207.5,6.9,There is parking on the left at the start of the private section of road to Killilan.,None nearby,No,3.8-5.1 hrs,02:06,
Culardoch,3.13,900.00,Eastern Highlands,Cairngorms and North East Grampians,East of Lairig an Laoigh,57.073367,-3.331878,103.2,2.87,There is a car park for walkers at Keiloch on the Invercauld Estate a short distance off the A93; a charge is made.,None nearby,No,3.8-5.1 hrs,10:09,
"Beinn Odhar, Tyndrum",3.41,900.80,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Bridge of Orchy,56.467674,-4.700451,90.7,2.23,"Start from the centre of Tyndrum, and begin by heading north along the road, passing the Green Welly Stop, then turning right immediately over the river to go through the car park of Brodie's Mini Mar",None nearby,No,3.8-5.1 hrs,11:26,
"Beinn Mheadhonach, Atholl",3.38,900.90,Eastern Highlands,Gaick and Atholl,Glen Bruar to Glen Tilt,56.860964,-3.83842,87.7,3.6,"Turn right one final time here to head back to the Old Bridge of Tilt itself, and then left into the car park at the start of the walk.",None nearby,No,3.8-5.1 hrs,08:41,
Sgùrr an Fhuarain,3.74,901.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Rough Bounds and south of Loch Cuaich,57.028891,-5.317911,175.7,3.96,The minor road up Loch Arkaig is something of a roller-coaster journey; continue to the end of the public road where there is a new car park.,None nearby,No,3.8-5.1 hrs,07:58,
Ben Tee,3.59,901.60,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Garry Forest,57.032248,-4.900723,164.8,4.45,"There is a car park at Kilfinnan, the section just off the road with wooden fencing (works depot behind it) is available to walkers during the hydro construction project.",None nearby,No,3.8-5.1 hrs,07:00,
Beinn an Lochain,4.37,901.70,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.230101,-4.876246,94.0,2.11,However the path from here soon leads into an impassable swamp - so don't try it! Instead park in a layby on the west side of the A83 around two kilometres north of the Rest and Be Thankful summit.,None nearby,No,3.8-5.1 hrs,11:40,
Beinn Damh,4.41,902.40,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.492871",57.492871,-5.51815,221.2,5.59,"From the car park walk to the left of the main Beinn Bar building, passing through a courtyard.",None nearby,No,3.8-5.1 hrs,04:43,
Ben Vuirich,3.60,903.10,Eastern Highlands,Gaick and Atholl,Glen Tilt to Glen Brerachan,56.810745,-3.644007,85.5,3.16,Park in the car park near the end of the public road signed for Monzie; there is a parking charge.,None nearby,No,3.8-5.2 hrs,09:28,
"Beinn Dearg Mòr, Fisherfield",2.93,906.28,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.765818,-5.30994,228.6,6.48,The walk starts where the track leaves the A832 on the west side of the bridge over the Gruinard River - there is limited verge parking just to the west.,None nearby,No,3.8-5.2 hrs,02:50,
Beinn Maol Chaluim,3.86,906.30,Central Highlands,Northwest Argyll and Appin,South of Glen Coe,56.627879,-5.041955,116.2,2.81,"There is a gravelly layby on the north side of the Glen Etive road at NN148493, on the opposite side from a passing place.",None nearby,No,3.8-5.2 hrs,10:10,
Leum Uilleim,3.97,906.50,Central Highlands,Loch Linnhie to Loch Ericht,Around Loch Ossian,56.738945,-4.730765,131.3,4.41,"Corrour station (no road access, train only) (NN356664)",None (remote),No,3.8-5.2 hrs,06:58,
Fuar Tholl,4.55,907.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, 57.485401",57.485401,-5.379192,209.0,4.48,"If arriving by car, park at the layby on the A890 opposite the telephone box and the private road to Achnashellach station.",None nearby,No,3.8-5.2 hrs,06:50,
"Meall Buidhe, Glen Lyon",3.24,908.40,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lyon west,56.570163,-4.562011,89.2,2.75,"Roadside parking, upper Glen Lyon (NN510460)",None nearby,No,3.8-5.2 hrs,10:18,
Streap ,4.28,909.00,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Finnan and Gleann Fionnlighe,56.923025,-5.375552,162.3,3.88,Park at the Craigag car park signed off to the north side of the A830 just west of the bridge over the Dubh Lighe.,None nearby,No,3.8-5.2 hrs,08:02,
Beinn nan Oighreag,3.00,909.60,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lochay,56.540103,-4.373236,99.2,2.66,"Park carefully - taking care not to cause an obstruction - by the start of tarmac track branching from Glen Lochay minor road at NN539352, about 700m from where the two roads up the glen join up.",None nearby,No,3.8-5.2 hrs,10:28,
"Ganu Mòr, Foinaven (Foinne Bheinn)",4.50,911.05,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Srath Dionard to Strath Stack,58.412077,-4.885686,273.5,7.26,Roadside parking on A838 (NC352449),None nearby,No,3.9-5.2 hrs,01:16,
The Fara,3.43,911.40,Central Highlands,Glen Garry to Loch Rannoch,Laggan and Ardverikie,56.928385,-4.304857,104.2,2.57,"The easiest way to bypass it is to head back, head towards the station and turn left in front of it to follow the road to the crossing (do not park at the railway station itself).",None nearby,No,3.9-5.2 hrs,10:39,
Leathad an Taobhain,2.87,911.70,Eastern Highlands,Gaick and Atholl,Glen Tromie to Glen Feshie,56.948664,-3.938642,133.2,4.64,"From here turn left and head back to the start by reversing the outward route, remembering to cross the bridge back over the Feshie to return via Achlean to the car park.",None nearby,No,3.9-5.2 hrs,06:31,
